punk_id,current_owner,last_transfer_time
57,0x35ce681f39239c78fe3fdf4cca7e795ba7c2ebac,2023-09-18 02:06:11.000 UTC
58,0x897aea3d51dcba918c41ae23f5d9a7411671dee0,2021-06-09 19:44:55.000 UTC
59,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:42:34.000 UTC
60,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 19:45:52.000 UTC
61,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:41:37.000 UTC
62,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:41:15.000 UTC
63,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 19:44:21.000 UTC
64,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:39:43.000 UTC
65,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:38:41.000 UTC
66,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:37:57.000 UTC
67,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:37:20.000 UTC
68,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 19:43:45.000 UTC
69,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 19:42:45.000 UTC
70,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:36:26.000 UTC
71,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:35:46.000 UTC
72,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:34:58.000 UTC
73,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:34:39.000 UTC
74,0x8088d74111a2368f5b7f0064a581d3bb72e6527e,2022-03-15 21:27:51.000 UTC
75,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:33:23.000 UTC
76,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:31:57.000 UTC
77,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:31:44.000 UTC
78,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 19:41:11.000 UTC
79,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 19:40:37.000 UTC
80,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:30:50.000 UTC
81,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:29:47.000 UTC
82,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:28:59.000 UTC
83,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:28:06.000 UTC
84,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 19:39:43.000 UTC
85,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:27:40.000 UTC
86,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:27:10.000 UTC
87,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:26:19.000 UTC
88,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:25:39.000 UTC
89,0x052564eb0fd8b340803df55def89c25c432f43f4,2018-06-12 07:10:36.000 UTC
90,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:24:50.000 UTC
91,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:23:54.000 UTC
92,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:23:21.000 UTC
93,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:22:45.000 UTC
94,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:22:14.000 UTC
95,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 19:38:11.000 UTC
