current_owner,count
0x3d331379990dd2774314ae7416cdedd66d3829a8,16
0xcbd482af76059e2a5e4a825c4cd5ced9f2dfe286,16
0x6ccd607e6e2cc97574acd5ab0f2b4d24c7f2a061,16
0x783ca9833d58a6b39ee72db81f07571d72c0064e,16
0x696ed7b26f4b019ceec78dc8b9140ad64a6f354b,16
0xb6be4de7f37bae20085d830a28982be8ad19052b,16
0x60e23da7a0b229902da892ddd6a839382eab04ca,16
0x030defb961d3f3480a574cedf6ead227a7a8106b,15
0x8be6ad79f67d1b76eba486b0ef4fd2c9bd1cd067,15
0x515a82d6bed3fd76ca65ba505482545bf1dfcca1,14
0x931e8194d361571cc8476b15f8ce2f6e72d593f5,14
0x850cae094ce34c564327818631287a75d3cee6ca,14
